dataset,mean,std,num_trials,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
CS,0.942751,0.000000,1,detach,dot,0.3,0.3,5.0,center,5.0,0.05,25.0,0.1,0.02,0.2
CS,0.942751,0.000000,1,detach,dot,0.3,0.3,5.0,center,5.0,0.05,15.0,0.1,0.02,0.2
CS,0.942592,0.000000,1,detach,dot,0.3,0.2,5.0,center,10.0,0.05,25.0,0.1,0.02,0.2
Computers,0.899667,0.000739,5,homo,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.899642,0.000700,5,detach,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.899140,0.000000,1,detach,dot,0.7,0.1,5.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.938736,0.000663,5,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.937603,0.000200,5,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Physics,0.962148,0.000245,5,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Physics,0.962032,0.000210,5,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
